Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
A discussion of damage mitigation of natural disasters: How to increase citizens' preparedness,"","It is widely recognised that community-wide support and learning is important to ensure that people are adequately prepared for natural disasters. To enhance preparedness of citizens, a critical theme is how to utilise the benefit of information Communication Technology (ICT) in the scheme of ICT-based learning programmes to raise citizens' perceptions of disaster risk and how to enable citizens to be ready for the future disasters. And in so doing, collaboration with the public sector, local disaster management NPOs and other stakeholders would be important topic. However, for such training programmes to be meaningful is important that they are based on citizens' sense of urgency about all aspects of disasters and a clear understanding by policy makers of what elements should be prioritised in the programme. This study first recognises the existence of a gap between citizens' perceptions of the real and the virtual scape of natural disasters, and then, based on data from a survey of citizens' attitudes in X city in Japan, quantitatively captures the factors and elements of disasters that influence citizens' perceptions of city resilient, and suggests implications for policy makers and relevant stakeholders. The results will be presented to policy makers and stakeholders. This is expected to provide models and scales of analysis for ICT implementation in disaster prevention and mitigation, i.e. coping with natural disasters brought about by climate change.",,15-11-2021,,,,,,,,#745,,"",""
Crisis communication on Twitter,"",nan,,01-01-2022,,,,,,,,#748,,"Åshild Kolås (2024-05-08 22:27:08)(Screen): Does the paper describe public emergency communication on Twitter? If so, it might be relevant. ; ",""
THE IMPORTANCE OF COMMUNICATION IN AN EMERGENCY,"","Communication, regardless of type, is an important part of the life and work of each individual. In addition, it is important for further growth and development for both the individual and the entire organization.During communication, there are often errors in the transfer of information, so it is necessary to work continuously to improve the quality of information. Also, important differences in communication can be noted when there is a change from regular to emergency situations. Responsible and empowered persons must ensure that communication is at a satisfactory level in order to eliminate the consequences, reduce material damage, human casualties and prevent further development of disasters.",,16-05-2021,,,,,,,,#749,,"",""
Performance Assessment of Local Government Organizations on Flood Disaster Prevention and Preparedness in Gunung Mas Regency,"",nan,,18-12-2020,,,,,,,,#753,,"",""
The Handbook of International Crisis Communication Research,"",nan,,22-04-2016,,,,,,,,#755,,Åshild Kolås (2024-05-08 22:23:28)(Screen): This book is relevant if it covers online public emergency communication.; ,""
"Implementation Communication Crisis Public Relations of Digital Media-Based: Internet Use Before, During, and After the Covid19 Crisis","",nan,,01-01-2022,,,,,,,,#758,,"",""
Crisis communication and terrorism: the Norway attacks on 22 July 2011,"","Purpose \xe2\x80\x93 The aim of this paper is two-fold: to describe and to consider the implications of the synthesis between terrorism, the media and strategic communication, using the Norway attacks as an example; and to describe and analyze the challenges and execution of crisis communication during and after the Norwegian attacks. Design/methodology/approach \xe2\x80\x93 The article is based on earlier research and secondary data (an extensive assessment made by the Norwegian police authority in 2012), as well as a minor media analysis focusing on representation of the perpetrator. An interview with two high-ranking communication officials working for the crisis management coordination secretariat in Norway has served as supplementary material. Findings \xe2\x80\x93 The crisis challenged the linear process of standard planning and information transmission. The terrorist attacks in Norway and how they were framed, especially before the perpetrator was identified, are linked to a global discourse on terrorists, and demonstrate the need for developing specific terrorism crisis communication theory. The news media coverage gave the perpetrator and his political messages publicity, but more as a lone disturbed individual, associated with school shootings more than with terrorism. There is a need for increased knowledge about terrorism as strategic communication or public relations. The variety among stakeholders and the increased possibilities for terrorists to control and plan their communications in have implications during all phases of a crisis. New strategies and tactics that oppose and defeat the terrorist's communication goals must be developed. Originality/value \xe2\x80\x93 The article views terrorism from a communication perspective and develops important questions about the relationship between terrorism, media, strategic communication and crisis communication.",,28-01-2014,,,,,,,,#760,,"",""
Crisis Communication and Terrorist Attacks: Framing a Response to the 2004 Madrid Bombings and 2005 London Bombings,"",This chapter contains sections titled: Crisis Communication and Terrorism Examining Crisis Communication in Two Terrorist Attacks Conclusion References,,19-01-2010,,,,,,,,#761,,"",""
Leadership under Fire: How Governments Manage Crisis Communication,"","Crisis leadership is fundamental to preventing, preparing for, managing, and learning from crises. Despite leadership during crises being heavily reliant on communicative processes, the research record has predominantly reduced crisis communication leadership to managing organizations\xe2\x80\x99 images. To contribute to limited knowledge on leadership communication during crises, we interviewed 24 U.S. government leaders and conducted a content analysis of U.S. government communication leadership during a major wildfire. We find that crisis communication leadership involves crisis perceptiveness, humility, flexibility, presence, and cooperation. We offer a message catalog of crisis response options for government leaders and show how leaders employed some of these messages in response to a large-scale wildfire. This study expands the state of the art in crisis communication leadership research with implications for theory and practice.",,28-10-2019,,,,,,,,#767,,"",""
Collation of best practices for preparedness: lessons from disasters in Pakistan and Japan,"","Purpose This study aims to compare the humanitarian supply chains and logistics of two countries in earthquake preparedness by modifying and using a previously established preparedness evaluation framework. Design/methodology/approach A European flood emergency management system (FEMS) is a seven-dimensional framework to assess a country\xe2\x80\x99s preparedness for flood emergencies. The FEMS framework was modified to apply to earthquakes. Leveraging a multiple explanatory case study approach with data analysis, the authors reconstructed the events of the earthquakes in Pakistan (2005) and Japan (2011) with an applied grading (1\xe2\x80\x935). Findings were evaluated within the adopted FEMS framework. From a practitioner\xe2\x80\x99s perspective, the framework is applicable and can accelerate support in the field. Findings Pakistan lacked emergency plans before the 2005 earthquake. In contrast, Japan possessed emergency plans before the disaster, helping minimise casualties. Overall, Japan demonstrated considerably better emergency management effectiveness. However, both countries significantly lacked the distribution of responsibilities among actors. Originality/value Practical factors in the humanitarian supply chain are well understood. However, synthesising individual factors into a comprehensive framework is difficult, which the study solves by applying and adopting the FEMS framework to earthquakes. The developed framework allows practitioners a structured baseline for prioritising measures in the field. Furthermore, this study exemplifies the usefulness of cross-hazard research within emergency management and preparedness in a real-world scenario.",,31-03-2023,,,,,,,,#769,,"",""
Assessing and preparedness for earthquake disaster in Salaf-Khalaf Islamic Boarding School,"","Abstract Trenggalek is an earthquake-vulnerable area because it is located in the subduction zone of the Indo-Australian and Eurasian plates. Therefore, it is necessary to have the preparedness of the people who live there in order to reduce disaster risk. The Islamic boarding school that was there was also affected by the disaster. Santri have a high risk of experiencing a disaster because they live in the Islamic boarding school. There have been many studies related to the preparedness of the community and school students, but not many studies related to santri\xe2\x80\x99s preparedness. Therefore, the purpose of the study was to analyze the level of santri\xe2\x80\x99s preparedness against the earthquake disaster in Trenggalek. The research method is a quantitative description using questionnaires and interviews. The sample amounted to 30 and was obtained by stratified random sampling. Data analysis uses the earthquake preparedness index. The results showed that 10% were classified as extremely prepared, 35% were classified as prepared, 43% were classified as unprepared, and 17% were classified as extremely unprepared. This happens because of the lack of knowledge of students about the vulnerability of disasters that exist around the Islamic boarding school and the disaster mitigation efforts.",,01-06-2022,,,,,,,,#771,,"",""
Crisis Management of Disaster Communication in Mitigation of Covid-19 Pandemic in Indonesia,"","This study aims to determine the crisis management of disaster communication in mitigating coronavirus outbreak. Situational Crisis Communication Theory serves as the basis for reviewing prevention through the situation and conditions of Covid-19 transmission, with descriptive qualitative method and narrative analysis, to help provide an explanation of the pandemic crisis. The reality of mitigation using the constructiveness paradigm must provide dialectics of the management and availability of vitamins, drugs, oxygen, hospitals, and health workers as part of public information security. Results show the lack of public awareness and disinformation, as well as suboptimal coordination on issues of policies regarding large-scale social restrictions, New Normal, restrictions on community activities. These issues were used on social media by the skeptical public and opposition groups under in the guise of democracy. As recommendations, crisis handling should be integrated, through the construction of reality with management of crisis and communication. Using an approach to cultural values, and societal norms, maximizing the use of socialization by government officials, through mass media, social media, and direct action, as well as providing the needs of the community to counter the political issues.",,06-04-2022,,,,,,,,#773,,"",""
Crisis with Undefined Delayed Damage: Definition and Communication Strategy,"","The article is devoted to the definition and the parameters of a crisis with indefinite delayed damage/ The authors suggest the concept and propose recommendations for crisis communication strategies from the perspective of a case of oil spill in the Russian Arctic caused by the accident at Norilsk-Taimyr Energy Company\xe2\x80\x99s TPP-3 on May 29, 2020.",,13-04-2022,,,,,,,,#775,,"",""
"Crisis Communication in the Context of Child and Youth Protection \xe2\x80\x93 Diagnosis, Problems, Challenges. The Case of the Catholic Church in Poland","","Crisis management principles that have been in place and proven for decades by commercial companies and corporations, tested at great expense, apply equally to all non-commercial entities, governmental, religious, political, as well as to individuals. There is no deviation from them, as crises in today\xe2\x80\x99s world are determined by the media, not the entity or institution itself. Every crisis can become an opportunity for change, strengthening, improvement, purification and even victory. The condition is a professional approach to the problem. A crisis can also be the beginning of the end, a failure. The biggest enemy of success in this situation is lack of knowledge how to act properly, mistakes in communication and management of resources. However, avoiding responsibility, hiding facts, manipulating information, being too quick and inconsiderate, resorting to falsehood, hypocrisy, and calculated behaviour will not facilitate success either. The article will analyse the institutional actions of the Catholic Church in Poland for the protection of children and adolescents in the context of the classical principles of crisis management applied in a crisis.",,30-04-2022,,,,,,,,#779,,"",""
"Community Experiences on Prevention, Preparedness and Recovery of The Flood Disaster in Cultural and Local Wisdom Context","","Objective: This qualitative descriptive study, underpinned by the naturalistic inquiry, explored the experiences of each level of households during and after the devastating flood disaster occurred in Kelantan, based on their cultural and local wisdom context. Methods: Three most affected districts were selected in this research: Gua Musang, Kuala Krai and Kota Bharu. Data gathered in this study was the researcher himself, in-depth interview guides, tape and video recording of interviews and a diary of the study for the duration of four months. Individuals from each level of the household were taken as a key informant. Results: Based on the data gathered from key informants, the prominent features of this research are: community preparedness in dealing with floods, uneven distribution of rains, unpredictable flood water level, inadequate food supply and preparation, the proper salvation of community in self-rescue, effectiveness of communication during evacuation, inappropriate manner, water rise indication at a certain area and signs of nature. Conclusion: These findings were reflected in the experiences together understanding the value of local wisdom and cultural faced by key informants dealing with the flood disaster and it would be used in creating appropriate programs on preparation in dealing with such disaster in the future.",,31-01-2019,,,,,,,,#780,,"",""
Secure IoT based Emergency Communication System,"","Abstract: The Internet of Things is the most recent &amp; rapidly developing technology of our time. This paper proposed the idea of Hybrid-cellular Wireless sensor network architecture which uses a functioning cellular base station. A routing scheme is also proposed for the emergency scenario that systematically utilizes accessible devices. Wireless devices are taken into account in the proposed emergency communication architecture, which also supports WSN's self-organizing function. Within a few hours, this communication model may be put up in disaster-stricken communities. The proposed methodology can achieve the goal of establishing communication between trapped and rescue volunteers by providing emergency communication infrastructure. A control station serves as an accurate information system for rescue teams' mobility, organization, and coordination. To assure their legality, a secure communication environment with rigorous IP address registration is provided. This approach provides a solution to issues such as calamity recovery networks and trapped victim search and rescue operations",,30-06-2022,,,,,,,,#782,,"",""
"Landslide Dam Outburst in Myagdi, Nepal: Early Warning and Preparedness Key to Minimizing Disaster","","The young Himalayan geology, steep terrain, and variable climate make Nepal extremely vulnerable to natural hazards such as floods, landslides, and earthquakes. The May 2015 Gorkha earthquake and its aftershocks triggered thousands of landslides and subsequent landslide dams increasing risk to people and infrastructure downstream. On May 24 a landslide with an estimated volume of about 300,000 m3 occurred in Baisari, Myagdi district, blocking the Kaligandaki river. The landslide buried the entire village, including 27 homes, under about 30 m of landslide debris. The landslide dam breached at around16 hours after its formation. The estimated peak discharge from the landslide dam was about 1291 m3/s. Timely evacuation of the people, early warning, and coordination between the District Disaster management committee and the Army prevented human casualties and damage to infrastructure.",,01-01-2022,,,,,,,,#785,,"",""
The estimation of a corporate crisis communication,"","Abstract This experimental study found a main effect of perceived leadership and an interaction effect of perceived leadership and perceived severity of threats on the public's estimation of organizational crisis responses. The results indicate that the contingent theoretical argument explaining the dynamics of organizational factors and situational factors that determine stance taken by public relations practices can also be applied when explaining the outside latent public's thought patterns predicting an organizational stance and message strategy. Contingency theory offers predictive power, not just for the practitioner, but for the public passing judgment on the stance taken by an organization.",,01-06-2009,,,,,,,,#790,,"",""
Government communication in times of crisis: The priorities and trends in South Africa\xe2\x80\x99s response to COVID-19,"","The effectiveness of a government\xe2\x80\x99s communication, especially in times of crisis, is crucial to its legitimacy, reputation, disaster management and its ability to ensure the wellbeing of its people. This paper examines the focus and trends in press statements published on South Africa\xe2\x80\x99s official coronavirus website during the coronavirus disease 2019 (COVID-19) pandemic. Government decisions, successes and challenges were frequently communicated to the public through these statements. The study aimed to understand what was communicated regarding government\xe2\x80\x99s priorities and the factors that shaped them. Data were extracted from 483 press statements published between 05 March 2020 and 15 January 2021. Thematic analysis and mean scores were used to identify the focus and trends in the messages, while the Wilcoxon signed rank test (WSRT) was used to identify the significance of the changes in the mean scores. The results showed a coordinated and persistent effort to inform the public with credible, accurate, timely and empowering information. The most persistent priority of the government was to control the spread of the virus, while several issues relating to the socio-economic wellbeing of the people were prioritised at different stages of the pandemic. There was a parallel movement between the trajectory of the disease and government decisions, suggesting that government response was mostly reactive to the behaviour of the pandemic. The South African government needs to be more proactive in its disaster response and demonstrate a nuanced understanding of its citizens and their challenges.",,15-07-2022,,,,,,,,#791,,"",""
An Examination of Organizational Crisis Communication Strategy,"","This paper examines Michigan State University\xe2\x80\x99s (MSU) official communications related to the Nassar sexual assault case. Because of the public nature and media centric focus of the Nassar case, this set of communications offers a rare opportunity to investigate the role of a smoldering organizational crisis communication strategy. This study contributes to the crisis communication strategy literature by using directed content analysis. Unlike previous crisis communication research, the current study uses data posted over a four-year period. Results indicated that over time, in spite of a variety of strategic communication tactics that the number of university donors decreased while student applications remained relatively stable. Using the results, an extended model of strategic crisis communication is presented to guide future research.",,15-07-2022,,,,,,,,#792,,"",""
Science Communication in Times of Crisis,"","This volume addresses demands on external and internal science communication in times of crisis. The contributions discuss present crises such as COVID-19 (e.g. vaccination campaigns or political reactions towards the pandemic in the context of science scepticism), and climate change (e.g. plausibility judgements or the role of scientists). They also relate their approaches to past crises, e.g. 9/11 or the Galileo affair. This volume is unique in that it is interdisciplinary from a theoretical and methodological perspective. In that respect, the authors apply concepts from corpus linguistics, discourse analysis, rhetoric, news values analysis, pragmatics and terminology research to various types of data, such as newspaper headlines, Tweets, open letters, corpora or glossaries. The case studies are situated within different cultural contexts, with various languages being examined, i.e. Polish, Arabic, English, French, German, and Spanish. Elevating our understanding of the interface of science communication and crisis communication, this collection of articles proves valuable to scholars and students from linguistics, communication science, political science, sociology and philosophy of science.",,18-07-2022,,,,,,,,#793,,"",""
A retrospective review of the development and application of crisis and emergency risk communication (CERC) in social media (Preprint),"","<sec> <title>BACKGROUND</title> Crisis and emergency risk communication (CERC) has been proposed as a way for government and public health organizations to improve their ability to connect with the public via social media while also integrating risk communication and crisis communication. However, few studies have systematically analyzed how CERC can be integrated with social media. </sec> <sec> <title>OBJECTIVE</title> Exploring the application of CERC in social media, comparing the distribution of platforms, the types and forms of data, the primary methods used, and clearer understanding of the main contributions and developmental context of CERC. </sec> <sec> <title>METHODS</title> We used the Web of Science, Scopus, and PubMed as databases to conduct a retrospective review with ""Crisis and Emergency Risk Communication"" as the search term from 2005 to 2021. Then, CERC was quantitatively and qualitatively analyzed. In the first part, we consider quantitative analysis as the core and publications as the research object, comprehensively covering the publication distribution in terms of time, periodical, country, institution, author, and discipline. In the second part, we use qualitative analysis to explore the composition of research topics related to keywords and the temporal variation trend of research topics based on keywords. The third part focuses on exploring the combination of CERC and social media. Finally, we propose future research routes based on the above results. </sec> <sec> <title>RESULTS</title> Health Promotion Practice is the most productive journal with seven contributing publications. The USA has become the dominant player in this field, with a considerable advantage of 28 publications. Australia, China, and the UK are far behind USA's contribution, although they are the second highest contributors. Centers for Disease Control and Prevention is the most contributing organization with three publications. Only seven people published more than two articles at the author level, among whom Lu, J. is from China, while Reynolds, B. and the other five are all from the United States. The cluster results show that the researchers mainly focus on five categories of issues: prevention and control of infectious diseases, disaster planning of bioterrorism, social media's role in risk and crisis communication, medical intervention in risk perception, the role of Twitter in public health crises. </sec> <sec> <title>CONCLUSIONS</title> We raise some future concerns based on the use case of CERC in social media. First, existing research has focused too much on Twitter and may have overlooked the role of Facebook. Second, existing studies have focused on only one side of the government (organization) or the public, and have not considered the effectiveness of government or organizational communication strategies as assessed by public response. Third, the methodologies for studying tweets must be updated. Fourth, the research on false information in the precrisis stage must improve. Finally, the information forms of crisis communication of governments or organizations must be enriched. </sec>",,23-07-2022,,,,,,,,#795,,"",""
